epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,976.188,1.83277,0.67061,0.76644,0.92767,0.90099,0.92272,0.44593,1.90997,0.67586,0.82017,0.0004952,0.0004952,0.0004952
116,991.937,1.8038,0.67855,0.76856,0.95573,0.88119,0.92933,0.46185,1.85825,0.68898,0.81854,0.000482,0.000482,0.000482
117,1008.35,1.83553,0.68406,0.77146,0.95696,0.91089,0.9428,0.46254,1.89301,0.65288,0.81687,0.0004688,0.0004688,0.0004688
118,1024.02,1.75393,0.66471,0.76378,0.96641,0.91089,0.95119,0.45793,1.85087,0.69192,0.81774,0.0004556,0.0004556,0.0004556
119,1039.67,1.76114,0.66041,0.76276,0.93921,0.91783,0.9474,0.49631,1.75474,0.64925,0.8106,0.0004424,0.0004424,0.0004424
120,1055.53,1.77152,0.63965,0.78001,0.95822,0.90823,0.93958,0.4439,1.91128,0.69397,0.81407,0.0004292,0.0004292,0.0004292
121,1071.16,1.7364,0.65201,0.76579,0.95766,0.92079,0.94676,0.4539,1.85892,0.66146,0.81291,0.000416,0.000416,0.000416
122,1086.81,1.77178,0.67171,0.76047,0.95914,0.92977,0.94865,0.4563,1.85729,0.63823,0.8135,0.0004028,0.0004028,0.0004028
123,1102.49,1.69773,0.63017,0.77264,0.96597,0.90099,0.94364,0.44299,1.85538,0.65951,0.81489,0.0003896,0.0003896,0.0003896
124,1118.02,1.72148,0.63927,0.7562,0.95224,0.90099,0.92505,0.45712,1.7919,0.66231,0.81392,0.0003764,0.0003764,0.0003764
125,1133.55,1.79153,0.65152,0.77589,0.94636,0.90099,0.92648,0.43791,1.86315,0.67221,0.81298,0.0003632,0.0003632,0.0003632
126,1149.82,1.80696,0.64426,0.77825,0.97359,0.92079,0.94805,0.45726,1.84174,0.65628,0.81357,0.00035,0.00035,0.00035
127,1165.47,1.76029,0.64332,0.77983,0.96872,0.92004,0.94828,0.47238,1.8066,0.64148,0.81545,0.0003368,0.0003368,0.0003368
128,1180.86,1.70587,0.62138,0.77411,0.96998,0.91089,0.95661,0.47029,1.83325,0.65632,0.81442,0.0003236,0.0003236,0.0003236
129,1196.32,1.66636,0.61747,0.76642,0.94728,0.91089,0.9507,0.45022,1.94045,0.68236,0.81683,0.0003104,0.0003104,0.0003104
130,1211.77,1.75194,0.63584,0.77253,0.94832,0.90099,0.93797,0.46274,1.87119,0.67282,0.81431,0.0002972,0.0002972,0.0002972
131,1227.12,1.68775,0.63703,0.75463,0.96715,0.91089,0.95286,0.48815,1.78969,0.65469,0.80988,0.000284,0.000284,0.000284
132,1242.55,1.73782,0.65373,0.754,0.94659,0.89109,0.91858,0.43221,1.91623,0.65361,0.81758,0.0002708,0.0002708,0.0002708
133,1258.19,1.69957,0.6078,0.76229,0.96116,0.91089,0.94302,0.47816,1.75401,0.62991,0.81675,0.0002576,0.0002576,0.0002576
134,1273.76,1.75597,0.66456,0.76884,0.97283,0.91089,0.95465,0.46867,1.82501,0.62888,0.81641,0.0002444,0.0002444,0.0002444
135,1289.44,1.70212,0.63258,0.75988,0.97336,0.92079,0.96174,0.48682,1.78919,0.64185,0.81184,0.0002312,0.0002312,0.0002312
136,1304.81,1.63035,0.59899,0.75845,0.9478,0.89887,0.93793,0.46606,1.83157,0.6849,0.81334,0.000218,0.000218,0.000218
137,1320.71,1.66669,0.62508,0.7676,0.95086,0.89109,0.93192,0.45404,1.84059,0.7021,0.81128,0.0002048,0.0002048,0.0002048
138,1336.35,1.71549,0.61211,0.76856,0.96802,0.89907,0.93917,0.46011,1.8549,0.67385,0.813,0.0001916,0.0001916,0.0001916
139,1352.07,1.71352,0.63094,0.76421,0.95549,0.89109,0.91836,0.47271,1.80989,0.67588,0.81229,0.0001784,0.0001784,0.0001784
140,1367.46,1.69402,0.61816,0.76247,0.96567,0.91089,0.9446,0.4471,1.9011,0.66643,0.81485,0.0001652,0.0001652,0.0001652
